Country,Country_Subdivision_Primary,Country_Subdivision_Secondary,Spend_USD,Spend_EUR,Spend_INR,Spend_BGN,Spend_HRK,Spend_CZK,Spend_DKK,Spend_HUF,Spend_PLN,Spend_RON,Spend_SEK,Spend_GBP
US,US-TX,TX-30,275500,243500,19599500,476250,1805400,6268000,1817000,78967500,1049200,1145550,2561250,216100
US,US-TX,TX-31,250400,219750,17931750,429775,1630300,5654000,1639500,71175000,945800,1030500,2300250,194750
US,US-TX,TX-32,455100,399950,32763250,782275,2967900,10307000,2984000,129495000,1722700,1875000,4180500,353700
US,US-TX,TX-33,128500,113250,9145750,221550,840000,2915000,845500,36705000,487600,532350,1188750,100350
US,US-TX,TX-34,85000,74950,6036250,146575,555700,1927000,559000,24270000,322200,352350,786750,66450
US,US-TX,TX-35,98900,87100,7046250,170400,646100,2242000,650000,28215000,375000,409275,913500,77200
US,US-TX,TX-36,135700,119700,9639250,234100,887500,3079000,893000,38790000,515000,562875,1257000,106100
US,US-TX,TX-4,189500,167000,13477750,326675,1238700,4298000,1246500,54090000,718900,785100,1752000,147850
US,US-TX,TX-5,170700,150450,12150250,294275,1115900,3872000,1122500,48735000,647600,707100,1578000,133250
US,US-TX,TX-6,195100,171950,13925500,336325,1275600,4427000,1283000,55687500,740200,807525,1802250,152200
US,US-TX,TX-7,392300,344250,28233000,673350,2555100,8868000,2568500,111405000,1482200,1613025,3592500,304500
US,US-TX,TX-8,185200,163400,13164000,319650,1211900,4205000,1219500,52927500,703400,768750,1715250,144700
US,US-TX,TX-9,147300,129500,10551250,253325,961000,3336000,966500,41932500,557600,607650,1354500,114650
US,US-UT,UT-1,105000,92700,7429000,181275,687100,2385000,691500,30030000,399000,436275,973500,82100
US,US-UT,UT-2,217900,192300,15446750,376075,1425600,4950000,1435000,62265000,827800,904575,2017500,170150
US,US-UT,UT-3,92000,81200,6509000,158850,602100,2090000,606000,26310000,349600,382200,852750,71900
US,US-UT,UT-4,152000,133750,10894750,261575,992300,3447000,998000,43267500,575900,627225,1395750,118100
US,US-VA,VA-1,166000,145950,11860250,285475,1082800,3757000,1089000,47287500,628400,685050,1529250,129300
US,US-VA,VA-10,599700,523750,43333250,1024350,3887700,13489000,3907500,169605000,2253500,2449800,5460750,463650
US,US-VA,VA-11,354200,311100,25507750,608475,2308400,8017000,2321000,100747500,1339400,1458150,3251250,275150
US,US-VA,VA-2,395600,347750,28454750,680200,2580900,8960000,2595000,112605000,1497300,1630575,3635250,307500
US,US-VA,VA-3,127800,112700,9118000,220425,835900,2902000,841000,36495000,485200,529650,1181250,99750
US,US-VA,VA-4,262300,230300,18813500,450450,1708500,5929000,1718500,74580000,990900,1080375,2409750,203850
US,US-VA,VA-5,249900,219200,17976750,428750,1627000,5645000,1635500,70987500,944000,1026525,2289000,194200
US,US-VA,VA-6,133100,117500,9449750,229775,871100,3023000,876500,38062500,505600,552900,1233750,104050
US,US-VA,VA-7,412800,360250,29889500,704650,2674500,9277000,2688000,116640000,1550200,1684200,3753750,318700
US,US-VA,VA-8,409100,360100,29196000,704300,2670600,9263000,2687000,116707500,1549700,1691925,3779250,318950
US,US-VA,VA-9,106900,94350,7601500,184500,699500,2428000,704000,30562500,406100,443700,990000,83500
US,US-VT,VT-AT LARGE,111300,98650,7849500,192975,731100,2537000,736500,31995000,424800,465450,1040250,87550
US,US-WA,WA-1,234100,206700,16650250,404325,1532800,5322000,1542500,66975000,889900,972300,2169750,183200
US,US-WA,WA-10,211000,186000,15042250,363800,1379500,4790000,1388000,60225000,800600,873900,1949250,164750
US,US-WA,WA-2,146100,129250,10341750,252825,958200,3326000,964500,41887500,556300,609075,1360500,114600
US,US-WA,WA-3,231900,204300,16626250,399575,1516300,5264000,1524500,66082500,879900,958200,2133750,180550
US,US-WA,WA-4,106900,94300,7582500,184500,699400,2428000,704000,30540000,405900,443700,990000,83550
US,US-WA,WA-5,277000,241850,19699000,473075,1794000,6222000,1804500,78285000,1040200,1131825,2526000,214550
US,US-WA,WA-6,174800,154850,12369750,302900,1147900,3985000,1156000,50212500,666600,729975,1631250,137450
US,US-WA,WA-7,302200,267150,21426250,522550,1980800,6875000,1993500,86490000,1149800,1258500,2808000,236550
US,US-WA,WA-8,537900,470250,39033750,919725,3491700,12130000,3508000,152092500,2024600,2196525,4886250,415600
US,US-WA,WA-9,299800,264100,21413500,516550,1958900,6803000,1970500,85545000,1137000,1240125,2766750,233950
US,US-WI,WI-1,376600,328850,26980250,643225,2440800,8467000,2453500,106507500,1415200,1538625,3429000,291250
US,US-WI,WI-2,407000,356550,29053000,697325,2645300,9177000,2660000,115575000,1534600,1670700,3731250,315800
US,US-WI,WI-3,269100,235950,19160250,461475,1750200,6073000,1760500,76485000,1015300,1106250,2469000,208900
US,US-WI,WI-4,328100,287500,23391750,562325,2132600,7403000,2145000,93217500,1238000,1347375,3008250,254650
US,US-WI,WI-5,285500,250500,20343750,489900,1858300,6450000,1868500,81157500,1078300,1174800,2619750,221450
US,US-WI,WI-6,354100,309450,25321250,605275,2296200,7962000,2308500,100282500,1331500,1449225,3234750,273900
US,US-WI,WI-7,226400,198450,16124500,388125,1472000,5108000,1480500,64342500,854200,930000,2075250,175800
US,US-WI,WI-8,317400,277650,22732000,543025,2060200,7151000,2071500,89932500,1195100,1299900,2896500,245500
US,US-WV,WV-1,299800,261100,21439000,510675,1937600,6722000,1947500,84615000,1123800,1219650,2727000,231650
US,US-WV,WV-2,353500,308100,25314250,602625,2286900,7934000,2298500,99780000,1326300,1439100,3214500,273200
US,US-WV,WV-3,312800,272700,22435750,533375,2024400,7025000,2034000,88275000,1174100,1273350,2841750,241450
US,US-WY,WY-AT LARGE,144700,127350,10242500,249050,944100,3275000,950000,41220000,547800,597300,1334250,113200
